ID,Nombre,Tipo,Departamento,Municipio,Dirección,Código Postal,Teléfono
32,Agencia Escuintla 32,Agencia,Escuintla,Escuintla,Zona 4,71820,+502 2388-5522
33,Agencia Quetzaltenango 33,Agencia,Quetzaltenango,Quetzaltenango,Zona 1,66468,+502 5620-9414
34,Agencia Cobán 34,Agencia,Alta Verapaz,Cobán,Zona 1,15580,+502 8077-6624
35,Agencia Flores 35,Agencia,Petén,Flores,Zona 1,49159,+502 6571-3663
36,Agencia Chiquimula 36,Agencia,Chiquimula,Chiquimula,Zona 6,70987,+502 7502-2871
37,Agencia Jutiapa 37,Agencia,Jutiapa,Jutiapa,Zona 2,63125,+502 9803-7328
38,Agencia Jalapa 38,Agencia,Jalapa,Jalapa,Zona 2,39561,+502 4825-9675
39,Agencia Huehuetenango 39,Agencia,Huehuetenango,Huehuetenango,Zona 2,76011,+502 2618-6257
40,Agencia Guatemala 40,Agencia,Guatemala,Guatemala,Zona 1,24959,+502 1002-9585
41,Agencia Antigua Guatemala 41,Agencia,Sacatepéquez,Antigua Guatemala,Zona 4,56130,+502 2377-4536
42,Agencia Escuintla 42,Agencia,Escuintla,Escuintla,Zona 1,24608,+502 4070-4520
43,Agencia Quetzaltenango 43,Agencia,Quetzaltenango,Quetzaltenango,Zona 1,52796,+502 1142-7001
44,Agencia Cobán 44,Agencia,Alta Verapaz,Cobán,Zona 4,54951,+502 5947-9579
45,Agencia Flores 45,Agencia,Petén,Flores,Zona 8,66136,+502 4826-3124
46,Agencia Chiquimula 46,Agencia,Chiquimula,Chiquimula,Zona 3,43402,+502 8082-5919
47,Agencia Jutiapa 47,Agencia,Jutiapa,Jutiapa,Zona 4,32916,+502 7853-4897
48,Agencia Jalapa 48,Agencia,Jalapa,Jalapa,Zona 3,91376,+502 8621-8430
49,Agencia Huehuetenango 49,Agencia,Huehuetenango,Huehuetenango,Zona 9,65885,+502 1879-7073
50,Agencia Guatemala 50,Agencia,Guatemala,Guatemala,Zona 10,37758,+502 1216-3709
51,Agencia Antigua Guatemala 51,Agencia,Sacatepéquez,Antigua Guatemala,Zona 4,59399,+502 8318-3368
52,Agencia Escuintla 52,Agencia,Escuintla,Escuintla,Zona 3,82239,+502 4556-8876
53,Agencia Quetzaltenango 53,Agencia,Quetzaltenango,Quetzaltenango,Zona 4,18736,+502 5110-3705
54,Agencia Cobán 54,Agencia,Alta Verapaz,Cobán,Zona 10,45158,+502 7814-6406
55,Agencia Flores 55,Agencia,Petén,Flores,Zona 3,93256,+502 8356-6650
56,Agencia Chiquimula 56,Agencia,Chiquimula,Chiquimula,Zona 5,20479,+502 2630-3700
57,Agencia Jutiapa 57,Agencia,Jutiapa,Jutiapa,Zona 10,85616,+502 3236-1950
58,Agencia Jalapa 58,Agencia,Jalapa,Jalapa,Zona 8,57519,+502 3662-5107
59,Agencia Huehuetenango 59,Agencia,Huehuetenango,Huehuetenango,Zona 8,89806,+502 7823-1061
60,Agencia Guatemala 60,Agencia,Guatemala,Guatemala,Zona 6,52914,+502 3774-5184
61,Agencia Antigua Guatemala 61,Agencia,Sacatepéquez,Antigua Guatemala,Zona 4,73302,+502 5086-9990
62,Agencia Escuintla 62,Agencia,Escuintla,Escuintla,Zona 8,88311,+502 6291-6511
63,Agencia Quetzaltenango 63,Agencia,Quetzaltenango,Quetzaltenango,Zona 6,77479,+502 4584-1997
64,Agencia Cobán 64,Agencia,Alta Verapaz,Cobán,Zona 7,84348,+502 7677-2225
65,Agencia Flores 65,Agencia,Petén,Flores,Zona 5,17285,+502 6950-7568
66,Agencia Chiquimula 66,Agencia,Chiquimula,Chiquimula,Zona 10,24777,+502 3370-2025
67,Agencia Jutiapa 67,Agencia,Jutiapa,Jutiapa,Zona 9,92786,+502 5827-9819
68,Agencia Jalapa 68,Agencia,Jalapa,Jalapa,Zona 9,59983,+502 7461-3988
69,Agencia Huehuetenango 69,Agencia,Huehuetenango,Huehuetenango,Zona 8,59930,+502 3677-2468
70,Agencia Guatemala 70,Agencia,Guatemala,Guatemala,Zona 8,38996,+502 6672-6912
71,Agencia Antigua Guatemala 71,Agencia,Sacatepéquez,Antigua Guatemala,Zona 1,82272,+502 1749-1902
72,Agencia Escuintla 72,Agencia,Escuintla,Escuintla,Zona 9,13543,+502 8883-3218
73,Agencia Quetzaltenango 73,Agencia,Quetzaltenango,Quetzaltenango,Zona 10,30832,+502 1466-5515
74,Agencia Cobán 74,Agencia,Alta Verapaz,Cobán,Zona 5,49225,+502 2430-8355
75,Agencia Flores 75,Agencia,Petén,Flores,Zona 6,37943,+502 8590-1477
76,Agencia Chiquimula 76,Agencia,Chiquimula,Chiquimula,Zona 9,16669,+502 8450-1113
77,Agencia Jutiapa 77,Agencia,Jutiapa,Jutiapa,Zona 9,20932,+502 5733-2543
78,Agencia Jalapa 78,Agencia,Jalapa,Jalapa,Zona 10,24257,+502 2773-8148
79,Agencia Huehuetenango 79,Agencia,Huehuetenango,Huehuetenango,Zona 7,59226,+502 2228-8863
80,Agencia Guatemala 80,Agencia,Guatemala,Guatemala,Zona 4,22985,+502 9449-1853
81,Agencia Antigua Guatemala 81,Agencia,Sacatepéquez,Antigua Guatemala,Zona 8,99464,+502 2412-4035
82,Agencia Escuintla 82,Agencia,Escuintla,Escuintla,Zona 10,55517,+502 1692-5410
83,Agencia Quetzaltenango 83,Agencia,Quetzaltenango,Quetzaltenango,Zona 3,66841,+502 4597-3543
84,Agencia Cobán 84,Agencia,Alta Verapaz,Cobán,Zona 3,44702,+502 4684-4588
85,Agencia Flores 85,Agencia,Petén,Flores,Zona 4,72926,+502 4175-9574
86,Agencia Chiquimula 86,Agencia,Chiquimula,Chiquimula,Zona 8,77128,+502 1359-3755
87,Agencia Jutiapa 87,Agencia,Jutiapa,Jutiapa,Zona 4,45760,+502 7396-2868
88,Agencia Jalapa 88,Agencia,Jalapa,Jalapa,Zona 7,35783,+502 9471-4120
89,Agencia Huehuetenango 89,Agencia,Huehuetenango,Huehuetenango,Zona 8,77268,+502 7440-7349
90,Agencia Guatemala 90,Agencia,Guatemala,Guatemala,Zona 1,62949,+502 7564-1591
91,Agencia Antigua Guatemala 91,Agencia,Sacatepéquez,Antigua Guatemala,Zona 7,51602,+502 5892-2535
92,Agencia Escuintla 92,Agencia,Escuintla,Escuintla,Zona 1,85732,+502 8000-4748
93,Agencia Quetzaltenango 93,Agencia,Quetzaltenango,Quetzaltenango,Zona 1,32788,+502 9040-5387
94,Agencia Cobán 94,Agencia,Alta Verapaz,Cobán,Zona 8,48588,+502 3163-1264
95,Agencia Flores 95,Agencia,Petén,Flores,Zona 4,97824,+502 9925-2362
96,Agencia Chiquimula 96,Agencia,Chiquimula,Chiquimula,Zona 7,51498,+502 6932-4273
97,Agencia Jutiapa 97,Agencia,Jutiapa,Jutiapa,Zona 8,70768,+502 5914-6584
98,Agencia Jalapa 98,Agencia,Jalapa,Jalapa,Zona 10,54904,+502 7757-8352
99,Agencia Huehuetenango 99,Agencia,Huehuetenango,Huehuetenango,Zona 1,61279,+502 5895-2949
100,Agencia Guatemala 100,Agencia,Guatemala,Guatemala,Zona 8,48463,+502 9164-9036
101,Agencia Antigua Guatemala 101,Agencia,Sacatepéquez,Antigua Guatemala,Zona 9,98579,+502 9703-1530
102,Agencia Escuintla 102,Agencia,Escuintla,Escuintla,Zona 6,51397,+502 8221-4207
103,Agencia Quetzaltenango 103,Agencia,Quetzaltenango,Quetzaltenango,Zona 9,66513,+502 2565-7108
104,Agencia Cobán 104,Agencia,Alta Verapaz,Cobán,Zona 6,46572,+502 5312-6573
105,Agencia Flores 105,Agencia,Petén,Flores,Zona 1,62640,+502 2994-9968
106,Agencia Chiquimula 106,Agencia,Chiquimula,Chiquimula,Zona 6,31979,+502 2283-2973
107,Agencia Jutiapa 107,Agencia,Jutiapa,Jutiapa,Zona 1,72199,+502 2413-8428
108,Agencia Jalapa 108,Agencia,Jalapa,Jalapa,Zona 5,75526,+502 7384-7005
109,Agencia Huehuetenango 109,Agencia,Huehuetenango,Huehuetenango,Zona 8,60422,+502 9080-7809
110,Agencia Guatemala 110,Agencia,Guatemala,Guatemala,Zona 4,10061,+502 6916-4013
111,Agencia Antigua Guatemala 111,Agencia,Sacatepéquez,Antigua Guatemala,Zona 5,33952,+502 5451-8020
112,Agencia Escuintla 112,Agencia,Escuintla,Escuintla,Zona 10,61821,+502 9819-5061
113,Agencia Quetzaltenango 113,Agencia,Quetzaltenango,Quetzaltenango,Zona 7,87388,+502 3465-9736
114,Agencia Cobán 114,Agencia,Alta Verapaz,Cobán,Zona 6,99663,+502 2675-5673
115,Agencia Flores 115,Agencia,Petén,Flores,Zona 9,80706,+502 1523-5102
116,Agencia Chiquimula 116,Agencia,Chiquimula,Chiquimula,Zona 5,10968,+502 1040-4693
117,Agencia Jutiapa 117,Agencia,Jutiapa,Jutiapa,Zona 6,91685,+502 2051-4483
118,Agencia Jalapa 118,Agencia,Jalapa,Jalapa,Zona 1,15022,+502 7015-6652
119,Agencia Huehuetenango 119,Agencia,Huehuetenango,Huehuetenango,Zona 1,25891,+502 8943-3759
120,Agencia Guatemala 120,Agencia,Guatemala,Guatemala,Zona 2,81879,+502 4830-3097
121,Agencia Antigua Guatemala 121,Agencia,Sacatepéquez,Antigua Guatemala,Zona 8,57279,+502 3379-2337
122,Agencia Escuintla 122,Agencia,Escuintla,Escuintla,Zona 2,35683,+502 3113-4918
123,Agencia Quetzaltenango 123,Agencia,Quetzaltenango,Quetzaltenango,Zona 4,32960,+502 1607-1257
124,Agencia Cobán 124,Agencia,Alta Verapaz,Cobán,Zona 9,36264,+502 6578-9001
125,Agencia Flores 125,Agencia,Petén,Flores,Zona 7,29652,+502 2700-1188
126,Agencia Chiquimula 126,Agencia,Chiquimula,Chiquimula,Zona 4,17546,+502 7991-2815
127,Agencia Jutiapa 127,Agencia,Jutiapa,Jutiapa,Zona 5,75299,+502 9872-2788
128,Agencia Jalapa 128,Agencia,Jalapa,Jalapa,Zona 8,34698,+502 2076-2314
129,Agencia Huehuetenango 129,Agencia,Huehuetenango,Huehuetenango,Zona 5,41687,+502 9528-6427
130,Agencia Guatemala 130,Agencia,Guatemala,Guatemala,Zona 2,14878,+502 6308-6462
131,Agencia Antigua Guatemala 131,Agencia,Sacatepéquez,Antigua Guatemala,Zona 1,42541,+502 3309-2608
132,Agencia Escuintla 132,Agencia,Escuintla,Escuintla,Zona 6,17481,+502 5941-7434
133,Agencia Quetzaltenango 133,Agencia,Quetzaltenango,Quetzaltenango,Zona 5,38582,+502 5349-3384
134,Agencia Cobán 134,Agencia,Alta Verapaz,Cobán,Zona 2,68945,+502 4837-1332
135,Agencia Flores 135,Agencia,Petén,Flores,Zona 2,17915,+502 9813-8805
136,Agencia Chiquimula 136,Agencia,Chiquimula,Chiquimula,Zona 4,53018,+502 2498-7703
137,Agencia Jutiapa 137,Agencia,Jutiapa,Jutiapa,Zona 1,89507,+502 5984-7489
138,Agencia Jalapa 138,Agencia,Jalapa,Jalapa,Zona 2,75911,+502 8020-5473
139,Agencia Huehuetenango 139,Agencia,Huehuetenango,Huehuetenango,Zona 4,90466,+502 9684-6109
140,Agencia Guatemala 140,Agencia,Guatemala,Guatemala,Zona 4,78720,+502 6532-1195
141,Agencia Antigua Guatemala 141,Agencia,Sacatepéquez,Antigua Guatemala,Zona 8,59841,+502 4280-9924
142,Agencia Escuintla 142,Agencia,Escuintla,Escuintla,Zona 8,79618,+502 3141-8833
143,Agencia Quetzaltenango 143,Agencia,Quetzaltenango,Quetzaltenango,Zona 7,67281,+502 8126-9723
144,Agencia Cobán 144,Agencia,Alta Verapaz,Cobán,Zona 9,15270,+502 7211-1794
145,Agencia Flores 145,Agencia,Petén,Flores,Zona 10,10433,+502 1602-8394
146,Agencia Chiquimula 146,Agencia,Chiquimula,Chiquimula,Zona 4,88913,+502 3699-2739
147,Agencia Jutiapa 147,Agencia,Jutiapa,Jutiapa,Zona 4,27283,+502 7170-5297
148,Agencia Jalapa 148,Agencia,Jalapa,Jalapa,Zona 1,45282,+502 1404-7789
149,Agencia Huehuetenango 149,Agencia,Huehuetenango,Huehuetenango,Zona 3,26615,+502 6768-8960
150,Agencia Guatemala 150,Agencia,Guatemala,Guatemala,Zona 8,93421,+502 2703-1732
151,Agencia Antigua Guatemala 151,Agencia,Sacatepéquez,Antigua Guatemala,Zona 10,81776,+502 9411-7286
152,Agencia Escuintla 152,Agencia,Escuintla,Escuintla,Zona 4,13840,+502 7432-2695
153,Agencia Quetzaltenango 153,Agencia,Quetzaltenango,Quetzaltenango,Zona 10,40523,+502 4431-8847
154,Agencia Cobán 154,Agencia,Alta Verapaz,Cobán,Zona 2,51244,+502 2314-7089
155,Agencia Flores 155,Agencia,Petén,Flores,Zona 4,73351,+502 4560-2340
156,Agencia Chiquimula 156,Agencia,Chiquimula,Chiquimula,Zona 4,80853,+502 7982-9942
157,Agencia Jutiapa 157,Agencia,Jutiapa,Jutiapa,Zona 10,33758,+502 3856-7706
158,Agencia Jalapa 158,Agencia,Jalapa,Jalapa,Zona 10,19312,+502 3122-5471
159,Agencia Huehuetenango 159,Agencia,Huehuetenango,Huehuetenango,Zona 5,53569,+502 2131-6194
160,Agencia Guatemala 160,Agencia,Guatemala,Guatemala,Zona 4,56462,+502 7218-7840
161,Agencia Antigua Guatemala 161,Agencia,Sacatepéquez,Antigua Guatemala,Zona 6,13185,+502 9520-3258
162,Agencia Escuintla 162,Agencia,Escuintla,Escuintla,Zona 10,20538,+502 7175-8855
163,Agencia Quetzaltenango 163,Agencia,Quetzaltenango,Quetzaltenango,Zona 8,52632,+502 7260-7348
164,Agencia Cobán 164,Agencia,Alta Verapaz,Cobán,Zona 9,85389,+502 6765-5899
165,Agencia Flores 165,Agencia,Petén,Flores,Zona 3,26909,+502 1859-5193
166,Agencia Chiquimula 166,Agencia,Chiquimula,Chiquimula,Zona 4,90247,+502 4314-6943
167,Agencia Jutiapa 167,Agencia,Jutiapa,Jutiapa,Zona 6,40035,+502 5636-1192
168,Agencia Jalapa 168,Agencia,Jalapa,Jalapa,Zona 6,27360,+502 8172-8570
169,Agencia Huehuetenango 169,Agencia,Huehuetenango,Huehuetenango,Zona 2,62329,+502 9193-3937
170,Agencia Guatemala 170,Agencia,Guatemala,Guatemala,Zona 1,19209,+502 7173-2779
171,Agencia Antigua Guatemala 171,Agencia,Sacatepéquez,Antigua Guatemala,Zona 5,33231,+502 6385-6285
172,Agencia Escuintla 172,Agencia,Escuintla,Escuintla,Zona 8,68517,+502 4397-7200
173,Agencia Quetzaltenango 173,Agencia,Quetzaltenango,Quetzaltenango,Zona 8,97442,+502 8390-2090
174,Agencia Cobán 174,Agencia,Alta Verapaz,Cobán,Zona 3,95189,+502 9647-1890
175,Agencia Flores 175,Agencia,Petén,Flores,Zona 1,79745,+502 7013-5765
176,Agencia Chiquimula 176,Agencia,Chiquimula,Chiquimula,Zona 1,29836,+502 2595-1452
177,Agencia Jutiapa 177,Agencia,Jutiapa,Jutiapa,Zona 3,47885,+502 7023-1985
178,Agencia Jalapa 178,Agencia,Jalapa,Jalapa,Zona 5,55510,+502 8296-7151
179,Agencia Huehuetenango 179,Agencia,Huehuetenango,Huehuetenango,Zona 3,90154,+502 4584-6561
180,Agencia Guatemala 180,Agencia,Guatemala,Guatemala,Zona 4,63455,+502 5160-9442
181,Agencia Antigua Guatemala 181,Agencia,Sacatepéquez,Antigua Guatemala,Zona 8,66262,+502 7154-8502
182,Agencia Escuintla 182,Agencia,Escuintla,Escuintla,Zona 9,51198,+502 1164-2571
183,Agencia Quetzaltenango 183,Agencia,Quetzaltenango,Quetzaltenango,Zona 7,56028,+502 7369-3512
184,Agencia Cobán 184,Agencia,Alta Verapaz,Cobán,Zona 8,51011,+502 3070-3137
185,Agencia Flores 185,Agencia,Petén,Flores,Zona 5,15740,+502 2187-4672
186,Agencia Chiquimula 186,Agencia,Chiquimula,Chiquimula,Zona 2,21676,+502 3969-6693
187,Agencia Jutiapa 187,Agencia,Jutiapa,Jutiapa,Zona 10,15349,+502 2437-9866
188,Agencia Jalapa 188,Agencia,Jalapa,Jalapa,Zona 10,53512,+502 3449-3121
189,Agencia Huehuetenango 189,Agencia,Huehuetenango,Huehuetenango,Zona 1,55230,+502 2091-3630
190,Agencia Guatemala 190,Agencia,Guatemala,Guatemala,Zona 6,19722,+502 1734-4641
191,Agencia Antigua Guatemala 191,Agencia,Sacatepéquez,Antigua Guatemala,Zona 6,94722,+502 1153-9313
192,Agencia Escuintla 192,Agencia,Escuintla,Escuintla,Zona 6,61055,+502 5508-4003
193,Agencia Quetzaltenango 193,Agencia,Quetzaltenango,Quetzaltenango,Zona 1,20738,+502 5270-6119
194,Agencia Cobán 194,Agencia,Alta Verapaz,Cobán,Zona 2,25356,+502 2230-3684
195,Agencia Flores 195,Agencia,Petén,Flores,Zona 3,64649,+502 4679-1094
196,Agencia Chiquimula 196,Agencia,Chiquimula,Chiquimula,Zona 10,17619,+502 5048-9447
197,Agencia Jutiapa 197,Agencia,Jutiapa,Jutiapa,Zona 10,20301,+502 8820-6565
198,Agencia Jalapa 198,Agencia,Jalapa,Jalapa,Zona 3,52130,+502 7842-4489
199,Agencia Huehuetenango 199,Agencia,Huehuetenango,Huehuetenango,Zona 1,62474,+502 6931-1350
200,Agencia Guatemala 200,Agencia,Guatemala,Guatemala,Zona 6,50444,+502 8210-7968
201,Agencia Antigua Guatemala 201,Agencia,Sacatepéquez,Antigua Guatemala,Zona 6,59717,+502 4869-6597
202,Agencia Escuintla 202,Agencia,Escuintla,Escuintla,Zona 2,56073,+502 6268-5087
203,Agencia Quetzaltenango 203,Agencia,Quetzaltenango,Quetzaltenango,Zona 2,70959,+502 3047-2473
204,Agencia Cobán 204,Agencia,Alta Verapaz,Cobán,Zona 5,41485,+502 1719-7048
205,Agencia Flores 205,Agencia,Petén,Flores,Zona 1,90969,+502 5137-2563
206,Agencia Chiquimula 206,Agencia,Chiquimula,Chiquimula,Zona 10,48298,+502 8517-6583
207,Agencia Jutiapa 207,Agencia,Jutiapa,Jutiapa,Zona 10,25613,+502 7705-9337
208,Agencia Jalapa 208,Agencia,Jalapa,Jalapa,Zona 4,66790,+502 9005-3610
209,Agencia Huehuetenango 209,Agencia,Huehuetenango,Huehuetenango,Zona 7,63833,+502 7619-9715
210,Agencia Guatemala 210,Agencia,Guatemala,Guatemala,Zona 8,51202,+502 5742-7718
211,Agencia Antigua Guatemala 211,Agencia,Sacatepéquez,Antigua Guatemala,Zona 8,96941,+502 9005-5929
212,Agencia Escuintla 212,Agencia,Escuintla,Escuintla,Zona 9,76832,+502 9271-4457
213,Agencia Quetzaltenango 213,Agencia,Quetzaltenango,Quetzaltenango,Zona 2,47067,+502 9654-7777
214,Agencia Cobán 214,Agencia,Alta Verapaz,Cobán,Zona 1,19305,+502 6419-4215
215,Agencia Flores 215,Agencia,Petén,Flores,Zona 5,15866,+502 1208-1508
216,Agencia Chiquimula 216,Agencia,Chiquimula,Chiquimula,Zona 9,23285,+502 7864-1100
217,Agencia Jutiapa 217,Agencia,Jutiapa,Jutiapa,Zona 2,68122,+502 9413-1970
218,Agencia Jalapa 218,Agencia,Jalapa,Jalapa,Zona 3,94937,+502 2995-1109
219,Agencia Huehuetenango 219,Agencia,Huehuetenango,Huehuetenango,Zona 9,55067,+502 6566-2916
220,Agencia Guatemala 220,Agencia,Guatemala,Guatemala,Zona 8,77698,+502 6999-3715
221,Agencia Antigua Guatemala 221,Agencia,Sacatepéquez,Antigua Guatemala,Zona 9,23064,+502 7707-3233
222,Agencia Escuintla 222,Agencia,Escuintla,Escuintla,Zona 4,48048,+502 3052-1464
223,Agencia Quetzaltenango 223,Agencia,Quetzaltenango,Quetzaltenango,Zona 5,91692,+502 4085-2531
224,Agencia Cobán 224,Agencia,Alta Verapaz,Cobán,Zona 10,92066,+502 4901-5566
225,Agencia Flores 225,Agencia,Petén,Flores,Zona 2,43719,+502 7269-1489
226,Agencia Chiquimula 226,Agencia,Chiquimula,Chiquimula,Zona 1,87214,+502 1527-4598
227,Agencia Jutiapa 227,Agencia,Jutiapa,Jutiapa,Zona 5,86805,+502 1070-6096
228,Agencia Jalapa 228,Agencia,Jalapa,Jalapa,Zona 6,85819,+502 5026-9138
229,Agencia Huehuetenango 229,Agencia,Huehuetenango,Huehuetenango,Zona 3,79485,+502 2355-3727
230,Agencia Guatemala 230,Agencia,Guatemala,Guatemala,Zona 9,57563,+502 2421-8425
231,Agencia Antigua Guatemala 231,Agencia,Sacatepéquez,Antigua Guatemala,Zona 3,70858,+502 3620-6098
232,Agencia Escuintla 232,Agencia,Escuintla,Escuintla,Zona 3,64721,+502 8444-6026
233,Agencia Quetzaltenango 233,Agencia,Quetzaltenango,Quetzaltenango,Zona 5,14488,+502 5737-4435
234,Agencia Cobán 234,Agencia,Alta Verapaz,Cobán,Zona 10,53184,+502 3384-1279
235,Agencia Flores 235,Agencia,Petén,Flores,Zona 7,35251,+502 2404-1397
236,Agencia Chiquimula 236,Agencia,Chiquimula,Chiquimula,Zona 10,85551,+502 7979-3083
237,Agencia Jutiapa 237,Agencia,Jutiapa,Jutiapa,Zona 1,19713,+502 9784-4150
238,Agencia Jalapa 238,Agencia,Jalapa,Jalapa,Zona 6,43634,+502 7989-9217
239,Agencia Huehuetenango 239,Agencia,Huehuetenango,Huehuetenango,Zona 10,11414,+502 1763-1081
240,Agencia Guatemala 240,Agencia,Guatemala,Guatemala,Zona 8,17370,+502 7019-8744
241,Agencia Antigua Guatemala 241,Agencia,Sacatepéquez,Antigua Guatemala,Zona 7,50574,+502 3466-1244
242,Agencia Escuintla 242,Agencia,Escuintla,Escuintla,Zona 10,54715,+502 3361-6421
243,Agencia Quetzaltenango 243,Agencia,Quetzaltenango,Quetzaltenango,Zona 10,82733,+502 7961-6832
244,Agencia Cobán 244,Agencia,Alta Verapaz,Cobán,Zona 1,67438,+502 9750-1594
245,Agencia Flores 245,Agencia,Petén,Flores,Zona 3,69629,+502 9106-2097
246,Agencia Chiquimula 246,Agencia,Chiquimula,Chiquimula,Zona 9,54809,+502 1092-3769
247,Agencia Jutiapa 247,Agencia,Jutiapa,Jutiapa,Zona 4,31758,+502 3829-4368
248,Agencia Jalapa 248,Agencia,Jalapa,Jalapa,Zona 2,78307,+502 3241-8629
249,Agencia Huehuetenango 249,Agencia,Huehuetenango,Huehuetenango,Zona 3,68967,+502 5253-6017
250,Agencia Guatemala 250,Agencia,Guatemala,Guatemala,Zona 5,71308,+502 3619-9398
251,Agencia Antigua Guatemala 251,Agencia,Sacatepéquez,Antigua Guatemala,Zona 8,74466,+502 7854-7501
252,Agencia Escuintla 252,Agencia,Escuintla,Escuintla,Zona 8,92048,+502 5869-6959
253,Agencia Quetzaltenango 253,Agencia,Quetzaltenango,Quetzaltenango,Zona 6,15423,+502 3629-1498
254,Agencia Cobán 254,Agencia,Alta Verapaz,Cobán,Zona 6,98915,+502 8060-6144
255,Agencia Flores 255,Agencia,Petén,Flores,Zona 5,76618,+502 8568-8985
256,Agencia Chiquimula 256,Agencia,Chiquimula,Chiquimula,Zona 1,40864,+502 7258-7724
257,Agencia Jutiapa 257,Agencia,Jutiapa,Jutiapa,Zona 10,27967,+502 9685-8410
258,Agencia Jalapa 258,Agencia,Jalapa,Jalapa,Zona 8,29443,+502 6823-8749
259,Agencia Huehuetenango 259,Agencia,Huehuetenango,Huehuetenango,Zona 3,41257,+502 1774-3949
260,Agencia Guatemala 260,Agencia,Guatemala,Guatemala,Zona 1,90896,+502 8575-3019
261,Agencia Antigua Guatemala 261,Agencia,Sacatepéquez,Antigua Guatemala,Zona 7,18156,+502 8481-5323
262,Agencia Escuintla 262,Agencia,Escuintla,Escuintla,Zona 2,17044,+502 4087-6198
263,Agencia Quetzaltenango 263,Agencia,Quetzaltenango,Quetzaltenango,Zona 10,70750,+502 1896-6856
264,Agencia Cobán 264,Agencia,Alta Verapaz,Cobán,Zona 1,98719,+502 5135-1329
265,Agencia Flores 265,Agencia,Petén,Flores,Zona 8,29355,+502 8005-3946
266,Agencia Chiquimula 266,Agencia,Chiquimula,Chiquimula,Zona 1,39851,+502 8833-8497
267,Agencia Jutiapa 267,Agencia,Jutiapa,Jutiapa,Zona 10,53499,+502 2853-8777
268,Agencia Jalapa 268,Agencia,Jalapa,Jalapa,Zona 7,84055,+502 5724-8099
269,Agencia Huehuetenango 269,Agencia,Huehuetenango,Huehuetenango,Zona 7,33439,+502 5512-8726
270,Agencia Guatemala 270,Agencia,Guatemala,Guatemala,Zona 2,93794,+502 2467-6038
271,Agencia Antigua Guatemala 271,Agencia,Sacatepéquez,Antigua Guatemala,Zona 3,29495,+502 6293-7353
272,Agencia Escuintla 272,Agencia,Escuintla,Escuintla,Zona 6,70288,+502 8436-8263
273,Agencia Quetzaltenango 273,Agencia,Quetzaltenango,Quetzaltenango,Zona 4,60513,+502 1021-5477
274,Agencia Cobán 274,Agencia,Alta Verapaz,Cobán,Zona 4,74367,+502 3564-1392
275,Agencia Flores 275,Agencia,Petén,Flores,Zona 6,95496,+502 1917-1536
276,Agencia Chiquimula 276,Agencia,Chiquimula,Chiquimula,Zona 6,37971,+502 2759-6701
277,Agencia Jutiapa 277,Agencia,Jutiapa,Jutiapa,Zona 5,47360,+502 2808-8122
278,Agencia Jalapa 278,Agencia,Jalapa,Jalapa,Zona 5,10813,+502 7482-4616
279,Agencia Huehuetenango 279,Agencia,Huehuetenango,Huehuetenango,Zona 10,73520,+502 3084-6682
280,Agencia Guatemala 280,Agencia,Guatemala,Guatemala,Zona 6,71058,+502 1081-8818
281,Agencia Antigua Guatemala 281,Agencia,Sacatepéquez,Antigua Guatemala,Zona 10,56961,+502 6309-6727
282,Agencia Escuintla 282,Agencia,Escuintla,Escuintla,Zona 10,28829,+502 6655-2560
283,Agencia Quetzaltenango 283,Agencia,Quetzaltenango,Quetzaltenango,Zona 8,60296,+502 6776-4376
284,Agencia Cobán 284,Agencia,Alta Verapaz,Cobán,Zona 1,82978,+502 9826-6912
285,Agencia Flores 285,Agencia,Petén,Flores,Zona 2,81070,+502 9920-4422
286,Agencia Chiquimula 286,Agencia,Chiquimula,Chiquimula,Zona 6,87312,+502 6322-4874
287,Agencia Jutiapa 287,Agencia,Jutiapa,Jutiapa,Zona 9,84706,+502 1185-7343
288,Agencia Jalapa 288,Agencia,Jalapa,Jalapa,Zona 1,38978,+502 3437-4299
289,Agencia Huehuetenango 289,Agencia,Huehuetenango,Huehuetenango,Zona 3,72104,+502 5897-3524
290,Agencia Guatemala 290,Agencia,Guatemala,Guatemala,Zona 4,63686,+502 1697-1997
291,Agencia Antigua Guatemala 291,Agencia,Sacatepéquez,Antigua Guatemala,Zona 3,56359,+502 5710-2123
292,Agencia Escuintla 292,Agencia,Escuintla,Escuintla,Zona 10,26952,+502 3202-5967
293,Agencia Quetzaltenango 293,Agencia,Quetzaltenango,Quetzaltenango,Zona 4,17959,+502 2509-9032
294,Agencia Cobán 294,Agencia,Alta Verapaz,Cobán,Zona 9,95596,+502 8151-6464
295,Agencia Flores 295,Agencia,Petén,Flores,Zona 3,30165,+502 1000-2392
296,Agencia Chiquimula 296,Agencia,Chiquimula,Chiquimula,Zona 5,64604,+502 4158-7612
297,Agencia Jutiapa 297,Agencia,Jutiapa,Jutiapa,Zona 9,83174,+502 3723-7707
298,Agencia Jalapa 298,Agencia,Jalapa,Jalapa,Zona 1,41153,+502 1449-9172
299,Agencia Huehuetenango 299,Agencia,Huehuetenango,Huehuetenango,Zona 6,98900,+502 1012-5115
300,Agencia Guatemala 300,Agencia,Guatemala,Guatemala,Zona 10,31832,+502 5482-5019
301,Agencia Antigua Guatemala 301,Agencia,Sacatepéquez,Antigua Guatemala,Zona 4,26315,+502 2283-3385
